ITEM,ITEM,climat
arctic,arctic,1
oil,oil,1
gas,gas,2
threaten,threaten,1
pari,pari,3
climat,climat,144
goal,goal,2
studi,studi,4
unit,unit,2
state,state,2
recov,recov,1
fuck,fuck,6
sake,sake,3
chang,chang,112
first,first,2
civil,civil,1
game,game,7
help,help,2
struck,struck,1
seem,seem,3
continu,continu,1
whether,whether,1
effect,effect,10
present,present,1
outstand,outstand,1
spin,spin,1
attila,attila,1
polit,polit,13
constant,constant,1
human,human,9
histori,histori,3
editori,editori,1
global,global,7
warm,warm,3
flaw,flaw,1
model,model,2
,,33
archiv,archiv,1
fo,fo,1
95mi9,95mi9,1
fund,fund,3
think,think,7
actual,actual,6
driver,driver,1
alway,alway,3
sun,sun,3
20th,20th,1
centuri,centuri,3
realli,realli,4
want,want,2
make,make,12
dlc,dlc,2
caus,caus,3
firaxi,firaxi,1
specif,specif,2
report,report,1
warn,warn,1
catastroph,catastroph,2
due,due,3
time,time,3
glad,glad,1
see,see,3
shit,shit,3
attribut,attribut,1
motiv,motiv,1
fact,fact,6
nod,nod,1
alon,alon,1
piss,piss,2
peopl,peopl,8
also,also,9
fool,fool,1
american,american,1
manufactur,manufactur,1
industri,industri,2
unavoid,unavoid,1
issu,issu,6
fuckin,fuckin,1
love,love,1
smac,smac,1
planet,planet,4
believ,believ,9
repres,repres,1
could,could,3
weapon,weapon,2
anti,anti,2
capitalist,capitalist,1
stick,stick,1
accur,accur,1
one,one,9
current,current,3
use,use,2
predict,predict,3
sens,sens,1
gamifi,gamifi,1
new,new,4
alarm,alarm,2
flip,flip,2
back,back,1
forth,forth,1
sorri,sorri,1
would,would,2
reforest,reforest,1
tree,tree,2
need,need,3
food,food,2
grow,grow,1
long,long,2
enough,enough,4
biospher,biospher,2
sequestr,sequestr,1
frack,frack,1
might,might,1
negat,negat,1
exist,exist,2
say,say,3
huge,huge,2
iron,iron,1
massiv,massiv,1
money,money,5
maker,maker,1
genuin,genuin,1
serious,serious,2
gonna,gonna,2
10,10,2
20,20,2
30,30,1
year,year,4
ago,ago,1
thing,thing,5
sinc,sinc,4
1920s,1920s,1
water,water,2
2016,2016,1
al,al,2
gore,gore,2
sever,sever,2
scientist,scientist,7
told,told,1
inconveni,inconveni,1
truth,truth,1
mean,mean,4
honest,honest,1
done,done,1
damag,damag,1
scienc,scienc,11
anyon,anyon,1
els,els,1
settl,settl,2
exact,exact,2
age,age,1
well,well,3
strong,strong,2
consensus,consensus,4
hysteria,hysteria,1
work,work,1
blog,blog,1
grant,grant,2
lukewarm,lukewarm,1
happen,happen,4
high,high,1
doubt,doubt,1
cataclysm,cataclysm,1
boat,boat,1
acceler,acceler,1
