ITEM,ITEM,climat
arctic,arctic,0.007194244604316547
oil,oil,0.007194244604316547
gas,gas,0.014388489208633094
threaten,threaten,0.007194244604316547
pari,pari,0.02158273381294964
climat,climat,1.0359712230215827
goal,goal,0.014388489208633094
studi,studi,0.02877697841726619
unit,unit,0.014388489208633094
state,state,0.014388489208633094
recov,recov,0.007194244604316547
fuck,fuck,0.04316546762589928
sake,sake,0.02158273381294964
chang,chang,0.8057553956834532
first,first,0.014388489208633094
civil,civil,0.007194244604316547
game,game,0.050359712230215826
help,help,0.014388489208633094
struck,struck,0.007194244604316547
seem,seem,0.02158273381294964
continu,continu,0.007194244604316547
whether,whether,0.007194244604316547
effect,effect,0.07194244604316546
present,present,0.007194244604316547
outstand,outstand,0.007194244604316547
spin,spin,0.007194244604316547
attila,attila,0.007194244604316547
polit,polit,0.09352517985611511
constant,constant,0.007194244604316547
human,human,0.06474820143884892
histori,histori,0.02158273381294964
editori,editori,0.007194244604316547
global,global,0.050359712230215826
warm,warm,0.02158273381294964
flaw,flaw,0.007194244604316547
model,model,0.014388489208633094
,,0.23741007194244604
archiv,archiv,0.007194244604316547
fo,fo,0.007194244604316547
95mi9,95mi9,0.007194244604316547
fund,fund,0.02158273381294964
think,think,0.050359712230215826
actual,actual,0.04316546762589928
driver,driver,0.007194244604316547
alway,alway,0.02158273381294964
sun,sun,0.02158273381294964
20th,20th,0.007194244604316547
centuri,centuri,0.02158273381294964
realli,realli,0.02877697841726619
want,want,0.014388489208633094
make,make,0.08633093525179857
dlc,dlc,0.014388489208633094
caus,caus,0.02158273381294964
firaxi,firaxi,0.007194244604316547
specif,specif,0.014388489208633094
report,report,0.007194244604316547
warn,warn,0.007194244604316547
catastroph,catastroph,0.014388489208633094
due,due,0.02158273381294964
time,time,0.02158273381294964
glad,glad,0.007194244604316547
see,see,0.02158273381294964
shit,shit,0.02158273381294964
attribut,attribut,0.007194244604316547
motiv,motiv,0.007194244604316547
fact,fact,0.04316546762589928
nod,nod,0.007194244604316547
alon,alon,0.007194244604316547
piss,piss,0.014388489208633094
peopl,peopl,0.05755395683453238
also,also,0.06474820143884892
fool,fool,0.007194244604316547
american,american,0.007194244604316547
manufactur,manufactur,0.007194244604316547
industri,industri,0.014388489208633094
unavoid,unavoid,0.007194244604316547
issu,issu,0.04316546762589928
fuckin,fuckin,0.007194244604316547
love,love,0.007194244604316547
smac,smac,0.007194244604316547
planet,planet,0.02877697841726619
believ,believ,0.06474820143884892
repres,repres,0.007194244604316547
could,could,0.02158273381294964
weapon,weapon,0.014388489208633094
anti,anti,0.014388489208633094
capitalist,capitalist,0.007194244604316547
stick,stick,0.007194244604316547
accur,accur,0.007194244604316547
one,one,0.06474820143884892
current,current,0.02158273381294964
use,use,0.014388489208633094
predict,predict,0.02158273381294964
sens,sens,0.007194244604316547
gamifi,gamifi,0.007194244604316547
new,new,0.02877697841726619
alarm,alarm,0.014388489208633094
flip,flip,0.014388489208633094
back,back,0.007194244604316547
forth,forth,0.007194244604316547
sorri,sorri,0.007194244604316547
would,would,0.014388489208633094
reforest,reforest,0.007194244604316547
tree,tree,0.014388489208633094
need,need,0.02158273381294964
food,food,0.014388489208633094
grow,grow,0.007194244604316547
long,long,0.014388489208633094
enough,enough,0.02877697841726619
biospher,biospher,0.014388489208633094
sequestr,sequestr,0.007194244604316547
frack,frack,0.007194244604316547
might,might,0.007194244604316547
negat,negat,0.007194244604316547
exist,exist,0.014388489208633094
say,say,0.02158273381294964
huge,huge,0.014388489208633094
iron,iron,0.007194244604316547
massiv,massiv,0.007194244604316547
money,money,0.03597122302158273
maker,maker,0.007194244604316547
genuin,genuin,0.007194244604316547
serious,serious,0.014388489208633094
gonna,gonna,0.014388489208633094
10,10,0.014388489208633094
20,20,0.014388489208633094
30,30,0.007194244604316547
year,year,0.02877697841726619
ago,ago,0.007194244604316547
thing,thing,0.03597122302158273
sinc,sinc,0.02877697841726619
1920s,1920s,0.007194244604316547
water,water,0.014388489208633094
2016,2016,0.007194244604316547
al,al,0.014388489208633094
gore,gore,0.014388489208633094
sever,sever,0.014388489208633094
scientist,scientist,0.050359712230215826
told,told,0.007194244604316547
inconveni,inconveni,0.007194244604316547
truth,truth,0.007194244604316547
mean,mean,0.02877697841726619
honest,honest,0.007194244604316547
done,done,0.007194244604316547
damag,damag,0.007194244604316547
scienc,scienc,0.07913669064748201
anyon,anyon,0.007194244604316547
els,els,0.007194244604316547
settl,settl,0.014388489208633094
exact,exact,0.014388489208633094
age,age,0.007194244604316547
well,well,0.02158273381294964
strong,strong,0.014388489208633094
consensus,consensus,0.02877697841726619
hysteria,hysteria,0.007194244604316547
work,work,0.007194244604316547
blog,blog,0.007194244604316547
grant,grant,0.014388489208633094
lukewarm,lukewarm,0.007194244604316547
happen,happen,0.02877697841726619
high,high,0.007194244604316547
doubt,doubt,0.007194244604316547
cataclysm,cataclysm,0.007194244604316547
boat,boat,0.007194244604316547
acceler,acceler,0.007194244604316547
point,point,0.014388489208633094
go,go,0.050359712230215826
us,us,0.014388489208633094
pin,pin,0.007194244604316547
blame,blame,0.02158273381294964
anthropogen,anthropogen,0.007194244604316547
oh,oh,0.014388489208633094
bet,bet,0.007194244604316547
life,life,0.014388489208633094
denial,denial,0.014388489208633094
right,right,0.03597122302158273
version,version,0.007194244604316547
scientif,scientif,0.03597122302158273
confirm,confirm,0.007194244604316547
move,move,0.02158273381294964
away,away,0.014388489208633094
apocalypt,apocalypt,0.007194244604316547
man,man,0.04316546762589928
made,made,0.03597122302158273
someth,someth,0.02877697841726619
lessen,lessen,0.007194244604316547
even,even,0.007194244604316547
simpli,simpli,0.007194244604316547
anyth,anyth,0.02877697841726619
cost,cost,0.007194244604316547
environmentalist,environmentalist,0.007194244604316547
activist,activist,0.007194244604316547
stun,stun,0.007194244604316547
problem,problem,0.007194244604316547
legitim,legitim,0.007194244604316547
natur,natur,0.02158273381294964
existenti,existenti,0.007194244604316547
threat,threat,0.014388489208633094
comment,comment,0.014388489208633094
lot,lot,0.03597122302158273
term,term,0.014388489208633094
pr,pr,0.007194244604316547
cant,cant,0.007194244604316547
deni,deni,0.03597122302158273
stuff,stuff,0.014388489208633094
solar,solar,0.007194244604316547
panel,panel,0.014388489208633094
better,better,0.007194244604316547
effici,effici,0.007194244604316547
joke,joke,0.007194244604316547
especi,especi,0.014388489208633094
multin,multin,0.007194244604316547
govern,govern,0.02158273381294964
doesnt,doesnt,0.007194244604316547
winter,winter,0.007194244604316547
less,less,0.02158273381294964
read,read,0.007194244604316547
prior,prior,0.007194244604316547
lead,lead,0.007194244604316547
misread,misread,0.007194244604316547
atmospher,atmospher,0.007194244604316547
noth,noth,0.007194244604316547
mention,mention,0.007194244604316547
tri,tri,0.014388489208633094
though,though,0.02877697841726619
increas,increas,0.014388489208633094
second,second,0.014388489208633094
system,system,0.014388489208633094
general,general,0.007194244604316547
seek,seek,0.007194244604316547
equilibrium,equilibrium,0.007194244604316547
reason,reason,0.02158273381294964
side,side,0.02158273381294964
cite,cite,0.007194244604316547
affirm,affirm,0.007194244604316547
revers,revers,0.02158273381294964
4,4,0.02158273381294964
progress,progress,0.014388489208633094
earth,earth,0.02877697841726619
sourc,sourc,0.007194244604316547
check,check,0.007194244604316547
claim,claim,0.014388489208633094
discard,discard,0.007194244604316547
4e23,4e23,0.007194244604316547
acef,acef,0.007194244604316547
358795e455b8,358795e455b8,0.007194244604316547
graph,graph,0.007194244604316547
png,png,0.007194244604316547
nasa,nasa,0.02158273381294964
gov,gov,0.014388489208633094
vital,vital,0.007194244604316547
sign,sign,0.007194244604316547
physicist,physicist,0.007194244604316547
get,get,0.02877697841726619
job,job,0.007194244604316547
base,base,0.014388489208633094
illeg,illeg,0.007194244604316547
post,post,0.007194244604316547
question,question,0.02158273381294964
matter,matter,0.007194244604316547
invok,invok,0.007194244604316547
real,real,0.02877697841726619
card,card,0.007194244604316547
anoth,anoth,0.014388489208633094
hurr,hurr,0.007194244604316547
durr,durr,0.007194244604316547
end,end,0.014388489208633094
world,world,0.02877697841726619
idiot,idiot,0.014388489208633094
seeth,seeth,0.007194244604316547
alarmist,alarmist,0.007194244604316547
detect,detect,0.007194244604316547
understand,understand,0.06474820143884892
left,left,0.014388489208633094
satir,satir,0.007194244604316547
whatev,whatev,0.007194244604316547
neccess,neccess,0.007194244604316547
debat,debat,0.007194244604316547
much,much,0.02158273381294964
2,2,0.007194244604316547
releas,releas,0.014388489208633094
final,final,0.014388489208633094
add,add,0.007194244604316547
buy,buy,0.007194244604316547
terrorist,terrorist,0.007194244604316547
communist,communist,0.007194244604316547
revolut,revolut,0.007194244604316547
decid,decid,0.007194244604316547
pull,pull,0.007194244604316547
deal,deal,0.007194244604316547
last,last,0.02158273381294964
wing,wing,0.007194244604316547
person,person,0.007194244604316547
stupid,stupid,0.007194244604316547
arrog,arrog,0.007194244604316547
know,know,0.014388489208633094
agre,agre,0.03597122302158273
bs,bs,0.007194244604316547
special,special,0.014388489208633094
goe,goe,0.007194244604316547
sure,sure,0.007194244604316547
bother,bother,0.007194244604316547
portray,portray,0.007194244604316547
talk,talk,0.007194244604316547
quit,quit,0.007194244604316547
humbl,humbl,0.007194244604316547
experi,experi,0.007194244604316547
prove,prove,0.007194244604316547
heat,heat,0.007194244604316547
explain,explain,0.007194244604316547
got,got,0.02158273381294964
grossli,grossli,0.007194244604316547
misrepres,misrepres,0.007194244604316547
environment,environment,0.007194244604316547
often,often,0.014388489208633094
come,come,0.007194244604316547
14,14,0.007194244604316547
2019,2019,0.007194244604316547
fbclid,fbclid,0.007194244604316547
iwar3muvy84lpylukatmi4iqm4idkiirjfza3zlmjygsqlimfd8e78mn9r,iwar3muvy84lpylukatmi4iqm4idkiirjfza3zlmjygsqlimfd8e78mn9r,0.007194244604316547
sq,sq,0.007194244604316547
dynam,dynam,0.02158273381294964
affect,affect,0.007194244604316547
gameplay,gameplay,0.007194244604316547
data,data,0.02158273381294964
fear,fear,0.007194244604316547
monger,monger,0.007194244604316547
everi,everi,0.014388489208633094
day,day,0.007194244604316547
collect,collect,0.007194244604316547
polar,polar,0.007194244604316547
cap,cap,0.007194244604316547
drill,drill,0.007194244604316547
satellit,satellit,0.007194244604316547
imag,imag,0.007194244604316547
dude,dude,0.007194244604316547
upon,upon,0.02158273381294964
conserv,conserv,0.007194244604316547
fiscal,fiscal,0.007194244604316547
bit,bit,0.007194244604316547
liber,liber,0.007194244604316547
warmer,warmer,0.007194244604316547
95,95,0.007194244604316547
news,news,0.007194244604316547
without,without,0.02158273381294964
someon,someon,0.02158273381294964
includ,includ,0.007194244604316547
direct,direct,0.007194244604316547
least,least,0.014388489208633094
partial,partial,0.007194244604316547
liter,liter,0.014388489208633094
plant,plant,0.014388489208633094
around,around,0.014388489208633094
ckimat,ckimat,0.007194244604316547
outright,outright,0.007194244604316547
pollut,pollut,0.007194244604316547
globe,globe,0.007194244604316547
dishearten,dishearten,0.007194244604316547
yes,yes,0.02158273381294964
relev,relev,0.007194244604316547
topic,topic,0.007194244604316547
opinion,opinion,0.007194244604316547
paper,paper,0.007194244604316547
iq,iq,0.007194244604316547
allow,allow,0.007194244604316547
pleas,pleas,0.014388489208633094
went,went,0.007194244604316547
critic,critic,0.007194244604316547
die,die,0.014388489208633094
hunt,hunt,0.007194244604316547
credibl,credibl,0.007194244604316547
opposit,opposit,0.007194244604316547
funni,funni,0.007194244604316547
propos,propos,0.02877697841726619
administr,administr,0.014388489208633094
hurt,hurt,0.007194244604316547
melt,melt,0.014388489208633094
sooner,sooner,0.007194244604316547
form,form,0.007194244604316547
later,later,0.014388489208633094
weather,weather,0.007194244604316547
endeavor,endeavor,0.007194244604316547
